NAME,NAT_TEAM,CLUB,LEAGUE,POS,ROLE,AGE_GR,AGE_EX,MATCHES,GOALS,ASSISTS,Y-CARDS,R-CARDS,MINUTES,N-CAPS,N-GOALS
Mathew Ryan,Australia,Brighton & Hove Albion,England,GK,Goalkeeper,26-30,26,3,0,0,0,0,270,44,0
Milos Degenek,Australia,Yokohama F. Marinos,Japan,DF,Centre-Back,21-25,24,0,0,0,0,0,0,18,0
James Meredith,Australia,Millwall FC,England,DF,Left-Back,26-30,30,0,0,0,0,0,0,2,0
Tim Cahill,Australia,Millwall FC,England,MF,Attacking Midfield,36+,38,1,0,0,0,0,37,106,50
Mark Milligan,Australia,Al-Ahli Jeddah,Saudi Arabia,DF,Centre-Back,31-35,32,3,0,0,1,0,270,71,6
Matthew Jurman,Australia,Suwon Samsung Bluewings FC,South Korea,DF,Centre-Back,26-30,28,0,0,0,0,0,0,4,0
Mathew Leckie,Australia,Hertha BSC,Germany,FW,Right Winger,26-30,27,3,0,0,1,0,270,53,8
Massimo Luongo,Australia,Queens Park Rangers,England,MF,Central Midfield,21-25,25,0,0,0,0,0,0,36,5
Tomi Juric,Australia,FC Luzern,Switzerland,FW,Centre-Forward,26-30,26,3,0,0,0,0,94,35,8
Robbie Kruse,Australia,VfL Bochum,Germany,FW,Left Winger,26-30,29,3,0,0,0,0,210,64,5
Andrew Nabbout,Australia,Urawa Red Diamonds,Japan,FW,Centre-Forward,21-25,25,2,0,0,0,0,139,4,1
Brad Jones,Australia,Feyenoord Rotterdam,Netherlands,GK,Goalkeeper,36+,36,0,0,0,0,0,0,6,0
Aaron Mooy,Australia,Huddersfield Town,England,MF,Central Midfield,26-30,27,3,0,0,0,0,270,34,5
Jamie Maclaren,Australia,Hibernian FC,Scotland,FW,Centre-Forward,21-25,24,0,0,0,0,0,0,6,0
Mile Jedinak,Australia,Aston Villa,England,MF,Defensive Midfield,31-35,33,3,2,0,1,0,270,76,18
Aziz Behich,Australia,Bursaspor,Turkey,DF,Left-Back,26-30,27,3,0,0,1,0,270,23,2
Daniel Arzani,Australia,Melbourne City FC,Australia,FW,Left Winger,15-20,19,3,0,0,1,0,60,2,1
Danny Vukovic,Australia,KRC Genk,Belgium,GK,Goalkeeper,31-35,33,0,0,0,0,0,0,1,0
Josh Risdon,Australia,Western Sydney Wanderers,Australia,DF,Right-Back,21-25,25,3,0,0,1,0,270,8,0
Trent Sainsbury,Australia,Grasshopper Club Zurich,Switzerland,DF,Centre-Back,26-30,26,3,0,0,0,0,270,35,3
Dimitri Petratos,Australia,Newcastle United Jets,Australia,MF,Attacking Midfield,21-25,25,0,0,0,0,0,0,2,0
Jackson Irvine,Australia,Hull City,England,MF,Defensive Midfield,21-25,25,3,0,0,0,0,44,19,2
Tom Rogic,Australia,Celtic FC,Scotland,MF,Attacking Midfield,21-25,25,3,0,0,1,0,226,37,7
Kasper Schmeichel,Denmark,Leicester City,England,GK,Goalkeeper,31-35,31,4,0,0,0,0,390,35,0
Michael Krohn-Dehli,Denmark,Deportivo de La Coruna,Spain,MF,Central Midfield,31-35,35,1,0,0,0,0,22,59,6
Jannik Vestergaard,Denmark,Borussia Monchengladbach,Germany,DF,Centre-Back,21-25,25,0,0,0,0,0,0,16,1
Simon Kjaer,Denmark,Sevilla FC,Spain,DF,Centre-Back,26-30,29,4,0,0,0,0,390,78,3
Jonas Knudsen,Denmark,Ipswich Town,England,DF,Left-Back,21-25,25,1,0,0,0,0,120,3,0
Andreas Christensen,Denmark,Chelsea FC,England,DF,Centre-Back,21-25,22,4,0,0,0,0,306,16,1
William Kvist,Denmark,FC Copenhagen,Denmark,MF,Defensive Midfield,31-35,33,1,0,0,0,0,36,80,2
Thomas Delaney,Denmark,SV Werder Bremen,Germany,MF,Central Midfield,26-30,26,4,0,1,1,0,368,27,4
Nicolai Jorgensen,Denmark,Feyenoord Rotterdam,Netherlands,FW,Centre-Forward,26-30,27,3,0,1,0,0,212,31,8
Christian Eriksen,Denmark,Tottenham Hotspur,England,MF,Attacking Midfield,26-30,26,4,1,1,0,0,390,78,22
Martin Braithwaite,Denmark,FC Girondins Bordeaux,France,FW,Centre-Forward,26-30,27,4,0,0,0,0,249,20,1
Kasper Dolberg,Denmark,Ajax Amsterdam,Netherlands,FW,Centre-Forward,15-20,20,1,0,0,0,0,15,6,1
Mathias Jorgensen,Denmark,Huddersfield Town,England,DF,Centre-Back,26-30,28,3,1,0,2,0,219,12,0
Henrik Dalsgaard,Denmark,Brentford FC,England,DF,Right-Back,26-30,28,4,0,0,0,0,390,11,0
Viktor Fischer,Denmark,FC Copenhagen,Denmark,FW,Left Winger,21-25,24,1,0,0,0,0,30,19,3
Jonas Lossl,Denmark,Huddersfield Town,England,GK,Goalkeeper,26-30,29,0,0,0,0,0,0,1,0
Jens Stryger Larsen,Denmark,Udinese Calcio,Italy,DF,Right-Back,26-30,27,3,0,0,0,0,270,13,1
Lukas Lerager,Denmark,FC Girondins Bordeaux,France,MF,Central Midfield,21-25,24,1,0,0,0,0,0,4,0
Lasse Schone,Denmark,Ajax Amsterdam,Netherlands,MF,Defensive Midfield,31-35,32,3,0,0,0,0,218,36,3
Yussuf Poulsen,Denmark,RB Leipzig,Germany,FW,Centre-Forward,21-25,24,3,1,0,2,0,269,28,4
Andreas Cornelius,Denmark,Atalanta BC,Italy,FW,Centre-Forward,21-25,25,3,0,0,0,0,163,18,4
Frederik Ronnow,Denmark,Brondby IF,Denmark,GK,Goalkeeper,21-25,25,0,0,0,0,0,0,6,0
Pione Sisto,Denmark,Celta de Vigo,Spain,FW,Left Winger,21-25,23,4,0,0,1,0,231,14,1
Hugo Lloris,France,Tottenham Hotspur,England,GK,Goalkeeper,31-35,31,6,0,0,0,0,540,98,0
Benjamin Pavard,France,VfB Stuttgart,Germany,DF,Centre-Back,21-25,22,6,1,0,1,0,540,6,0
Presnel Kimpembe,France,Paris Saint-Germain,France,DF,Centre-Back,21-25,22,1,0,0,0,0,90,2,0
Raphael Varane,France,Real Madrid,Spain,DF,Centre-Back,21-25,25,7,1,0,0,0,630,42,2
Samuel Umtiti,France,FC Barcelona,Spain,DF,Centre-Back,21-25,24,6,1,0,0,0,540,19,2
Paul Pogba,France,Manchester United,England,MF,Central Midfield,21-25,25,6,1,1,1,0,539,54,9
Antoine Griezmann,France,Atletico Madrid,Spain,FW,Centre-Forward,26-30,27,7,4,3,0,0,572,54,20
Thomas Lemar,France,AS Monaco,France,FW,Left Winger,21-25,22,1,0,0,0,0,90,12,3
Olivier Giroud,France,Chelsea FC,England,FW,Centre-Forward,31-35,31,7,0,1,1,0,546,74,31
Kylian Mbappe,France,Paris Saint-Germain,France,FW,Right Winger,15-20,19,7,4,1,2,0,534,15,4
Ousmane Dembele,France,FC Barcelona,Spain,FW,Right Winger,21-25,21,4,0,0,0,0,165,12,2
Corentin Tolisso,France,Bayern Munich,Germany,MF,Central Midfield,21-25,23,5,0,1,1,0,194,9,0
N'Golo Kante,France,Chelsea FC,England,MF,Defensive Midfield,26-30,27,7,0,0,2,0,595,24,1
Blaise Matuidi,France,Juventus FC,Italy,MF,Central Midfield,31-35,31,5,0,0,2,0,336,67,9
Steven Nzonzi,France,Sevilla FC,Spain,MF,Defensive Midfield,26-30,29,5,0,0,0,0,141,4,0
Steve Mandanda,France,Olympique Marseille,France,GK,Goalkeeper,31-35,33,1,0,0,0,0,90,27,0
Adil Rami,France,Olympique Marseille,France,DF,Centre-Back,31-35,32,0,0,0,0,0,0,35,1
Nabil Fekir,France,Olympique Lyon,France,MF,Attacking Midfield,21-25,24,6,0,0,0,0,67,12,2
Djibril Sidibe,France,AS Monaco,France,DF,Right-Back,21-25,25,1,0,0,0,0,90,17,1
Florian Thauvin,France,Olympique Marseille,France,FW,Right Winger,21-25,25,1,0,0,0,0,1,4,0
Lucas Hernandez,France,Atletico Madrid,Spain,DF,Left-Back,21-25,22,7,0,2,2,0,590,5,0
Benjamin Mendy,France,Manchester City,England,DF,Left-Back,21-25,23,1,0,0,0,0,40,7,0
Alphonse Areola,France,Paris Saint-Germain,France,GK,Goalkeeper,21-25,25,0,0,0,0,0,0,0,0
Pedro Gallese,Peru,Tiburones Rojos de Veracruz,Mexico,GK,Goalkeeper,26-30,28,3,0,0,0,0,270,38,0
Alberto Rodriguez,Peru,Junior FC,Colombia,DF,Centre-Back,31-35,34,2,0,0,0,0,135,59,0
Aldo Corzo,Peru,Universitario de Deportes,Peru,DF,Right-Back,26-30,29,0,0,0,0,0,0,25,0
Anderson Santamaria,Peru,Puebla FC,Mexico,DF,Centre-Back,26-30,26,2,0,0,0,0,134,4,0
Miguel Araujo,Peru,Alianza Lima,Peru,DF,Centre-Back,21-25,23,0,0,0,0,0,0,7,0
Miguel Trauco,Peru,Clube de Regatas do Flamengo,Brazil,DF,Left-Back,26-30,26,3,0,0,0,0,270,27,0
Paolo Hurtado,Peru,Vitoria Guimaraes SC,Portugal,MF,Attacking Midfield,26-30,27,1,0,0,1,0,27,31,3
Christian Cueva,Peru,Sao Paulo Futebol Clube,Brazil,MF,Attacking Midfield,26-30,26,3,0,0,0,0,262,44,8
Paolo Guerrero,Peru,Clube de Regatas do Flamengo,Brazil,FW,Centre-Forward,31-35,34,3,1,1,1,0,207,88,34
Jefferson Farfan,Peru,Lokomotiv Moscow,Russia,FW,Right Winger,31-35,33,2,0,0,0,0,129,84,25
Raul Ruidiaz,Peru,Monarcas Morelia,Mexico,FW,Centre-Forward,26-30,27,2,0,0,0,0,13,30,4
Carlos Caceda,Peru,Deportivo Municipal,Peru,GK,Goalkeeper,26-30,26,0,0,0,0,0,0,4,0
Renato Tapia,Peru,Feyenoord Rotterdam,Netherlands,MF,Central Midfield,21-25,22,2,0,0,1,0,150,23,1
Andy Polo,Peru,Portland Timbers,United States,FW,Right Winger,21-25,23,0,0,0,0,0,0,17,1
Christian Ramos,Peru,Tiburones Rojos de Veracruz,Mexico,DF,Centre-Back,26-30,29,3,0,0,0,0,270,66,3
Wilder Cartagena,Peru,Tiburones Rojos de Veracruz,Mexico,MF,Defensive Midfield,21-25,23,1,0,0,0,0,11,3,0
Luis Advincula,Peru,Lobos BUAP,Mexico,DF,Right-Back,26-30,28,3,0,0,0,0,270,65,0
Andre Carrillo,Peru,Watford FC,England,FW,Right Winger,26-30,27,3,1,0,0,0,259,45,5
Yoshimar Yotun,Peru,Orlando City SC,United States,MF,Central Midfield,26-30,28,3,0,0,1,0,180,73,2
Edison Flores,Peru,Aalborg BK,Denmark,FW,Left Winger,21-25,24,3,0,0,0,0,243,29,9
Jose Carvallo,Peru,UTC Cajamarca,Peru,GK,Goalkeeper,31-35,32,0,0,0,0,0,0,6,0
Nilson Loyola,Peru,FBC Melgar,Peru,DF,Left-Back,21-25,23,0,0,0,0,0,0,3,0
Pedro Aquino,Peru,Lobos BUAP,Mexico,MF,Defensive Midfield,21-25,23,3,0,0,1,0,137,13,0
Nahuel Guzman,Argentina,Tigres UANL,Mexico,GK,Goalkeeper,31-35,32,0,0,0,0,0,0,6,0
Gabriel Mercado,Argentina,Sevilla FC,Spain,DF,Right-Back,31-35,31,3,1,1,1,0,270,20,3
Nicolas Tagliafico,Argentina,Ajax Amsterdam,Netherlands,DF,Left-Back,21-25,25,4,0,0,1,0,350,4,0
Cristian Ansaldi,Argentina,Torino FC,Italy,DF,Left-Back,31-35,31,0,0,0,0,0,0,5,0
Lucas Biglia,Argentina,AC Milan,Italy,MF,Defensive Midfield,31-35,32,1,0,0,0,0,54,57,1
Federico Fazio,Argentina,AS Roma,Italy,DF,Centre-Back,31-35,31,1,0,0,0,0,44,9,1
Ever Banega,Argentina,Sevilla FC,Spain,MF,Central Midfield,26-30,30,3,0,2,2,0,216,62,6
Marcos Acuna,Argentina,Sporting CP,Portugal,MF,Left Midfield,26-30,26,1,0,0,1,0,90,10,0
Gonzalo Higuain,Argentina,Juventus FC,Italy,FW,Centre-Forward,26-30,30,3,0,0,0,0,132,71,31
Lionel Messi,Argentina,FC Barcelona,Spain,FW,Second Striker,31-35,31,4,1,2,1,0,360,124,64
Angel Di Maria,Argentina,Paris Saint-Germain,France,FW,Right Winger,26-30,30,3,1,0,0,0,237,94,19
Franco Armani,Argentina,Club Atletico River Plate,Argentina,GK,Goalkeeper,31-35,31,2,0,0,0,0,180,0,0
Maximiliano Meza,Argentina,Club Atletico Independiente,Argentina,MF,Attacking Midfield,26-30,26,4,0,0,0,0,207,2,0
Javier Mascherano,Argentina,Hebei China Fortune,China,MF,Defensive Midfield,31-35,34,4,0,0,2,0,360,143,3
Enzo Perez,Argentina,Club Atletico River Plate,Argentina,MF,Central Midfield,31-35,32,3,0,0,0,0,195,23,1
Marcos Rojo,Argentina,Manchester United,England,DF,Centre-Back,26-30,28,3,1,1,1,0,225,56,2
Nicolas Otamendi,Argentina,Manchester City,England,DF,Centre-Back,26-30,30,4,0,0,2,0,360,54,4
Eduardo Salvio,Argentina,SL Benfica,Portugal,MF,Right Midfield,26-30,27,2,0,0,0,0,146,9,0
Sergio Aguero,Argentina,Manchester City,England,FW,Centre-Forward,26-30,30,4,2,0,0,0,178,85,37
Giovani Lo Celso,Argentina,Paris Saint-Germain,France,MF,Central Midfield,21-25,22,0,0,0,0,0,0,5,0
Paulo Dybala,Argentina,Juventus FC,Italy,FW,Second Striker,21-25,24,1,0,0,0,0,22,12,0
Cristian Pavon,Argentina,Club Atletico Boca Juniors,Argentina,FW,Right Winger,21-25,22,4,0,0,0,0,153,5,0
Willy Caballero,Argentina,Chelsea FC,England,GK,Goalkeeper,36+,36,2,0,0,0,0,180,3,0
Dominik Livakovic,Croatia,GNK Dinamo Zagreb,Croatia,GK,Goalkeeper,21-25,23,0,0,0,0,0,0,1,0
Sime Vrsaljko,Croatia,Atletico Madrid,Spain,DF,Right-Back,26-30,26,6,0,1,2,0,607,35,0
Ivan Strinic,Croatia,UC Sampdoria,Italy,DF,Left-Back,26-30,30,6,0,0,1,0,511,43,0
Ivan Perisic,Croatia,Inter Milan,Italy,FW,Left Winger,26-30,29,7,3,1,0,0,632,66,18
Vedran Corluka,Croatia,Lokomotiv Moscow,Russia,DF,Centre-Back,31-35,32,4,0,0,1,0,118,99,4
Dejan Lovren,Croatia,Liverpool FC,England,DF,Centre-Back,26-30,29,7,0,0,1,0,650,39,2
Ivan Rakitic,Croatia,FC Barcelona,Spain,MF,Central Midfield,26-30,30,7,1,0,1,0,638,92,14
Mateo Kovacic,Croatia,Real Madrid,Spain,MF,Central Midfield,21-25,24,5,0,1,0,0,183,41,1
Andrej Kramaric,Croatia,TSG 1899 Hoffenheim,Germany,FW,Centre-Forward,26-30,27,7,1,0,0,0,332,31,9
Luka Modric,Croatia,Real Madrid,Spain,MF,Central Midfield,31-35,32,7,2,1,0,0,694,106,12
Marcelo Brozovic,Croatia,Inter Milan,Italy,MF,Central Midfield,21-25,25,6,0,1,1,0,458,35,6
Lovre Kalinic,Croatia,KAA Gent,Belgium,GK,Goalkeeper,26-30,28,1,0,0,0,0,90,11,0
Tin Jedvaj,Croatia,Bayer 04 Leverkusen,Germany,DF,Centre-Back,21-25,22,1,0,0,1,0,90,12,0
Filip Bradaric,Croatia,HNK Rijeka,Croatia,MF,Defensive Midfield,26-30,26,1,0,0,0,0,25,4,0
Duje Caleta-Car,Croatia,Red Bull Salzburg,Austria,DF,Centre-Back,21-25,21,1,0,0,0,0,90,1,0
Nikola Kalinic,Croatia,AC Milan,Italy,FW,Centre-Forward,26-30,30,0,0,0,0,0,0,42,15
Mario Mandzukic,Croatia,Juventus FC,Italy,FW,Left Winger,31-35,32,6,3,1,2,0,609,83,30
Ante Rebic,Croatia,Eintracht Frankfurt,Germany,FW,Left Winger,21-25,24,6,1,0,2,0,547,16,1
Milan Badelj,Croatia,ACF Fiorentina,Italy,MF,Defensive Midfield,26-30,29,3,1,1,0,0,103,38,1
Marko Pjaca,Croatia,FC Schalke 04,Germany,FW,Left Winger,21-25,23,3,0,0,1,0,83,16,1
Domagoj Vida,Croatia,Besiktas JK,Turkey,DF,Centre-Back,26-30,29,6,1,1,1,0,630,59,2
Josip Pivaric,Croatia,Dynamo Kyiv,Ukraine,DF,Left-Back,26-30,29,4,0,1,1,0,200,19,0
Danijel Subasic,Croatia,AS Monaco,France,GK,Goalkeeper,31-35,33,6,0,0,0,0,630,38,0
Hannes Halldorsson,Iceland,Randers FC,Denmark,GK,Goalkeeper,31-35,34,3,0,0,0,0,270,49,0
Birkir Mar Saevarsson,Iceland,Valur Reykjavik,Iceland,DF,Right-Back,31-35,33,3,0,0,1,0,270,79,1
Samuel Fridjonsson,Iceland,Valerenga Oslo,Norway,MF,Defensive Midfield,21-25,22,0,0,0,0,0,0,4,0
Albert Gudmundsson,Iceland,PSV Eindhoven,Netherlands,FW,Right Winger,21-25,21,1,0,0,0,0,5,5,3
Sverrir Ingi Ingason,Iceland,FK Rostov,Russia,DF,Centre-Back,21-25,24,2,0,0,0,0,115,20,3
Ragnar Sigurdsson,Iceland,FK Rostov,Russia,DF,Centre-Back,31-35,32,3,0,0,0,0,226,77,3
Johann Berg Gudmundsson,Iceland,Burnley FC,England,FW,Right Winger,26-30,27,2,0,0,0,0,153,67,7
Birkir Bjarnason,Iceland,Aston Villa,England,MF,Central Midfield,26-30,30,3,0,0,0,0,270,67,9
Bjorn Bergmann Sigurdarson,Iceland,FK Rostov,Russia,FW,Centre-Forward,26-30,27,3,0,0,0,0,39,12,1
Gylfi Sigurdsson,Iceland,Everton FC,England,MF,Attacking Midfield,26-30,28,3,1,1,0,0,270,57,19
Alfred Finnbogason,Iceland,FC Augsburg,Germany,FW,Centre-Forward,26-30,29,3,1,0,1,0,264,47,13
Frederik Schram,Iceland,FC Roskilde,Denmark,GK,Goalkeeper,21-25,23,0,0,0,0,0,0,4,0
Runar Alex Runarsson,Iceland,FC Nordsjaelland,Denmark,GK,Goalkeeper,21-25,23,0,0,0,0,0,0,3,0
Kari Arnason,Iceland,Aberdeen FC,Scotland,DF,Centre-Back,31-35,35,2,0,0,0,0,180,67,5
Holmar Orn Eyjolfsson,Iceland,Levski Sofia,Bulgaria,DF,Centre-Back,26-30,27,0,0,0,0,0,0,10,1
Olafur Ingi Skulason,Iceland,Kardemir Karabukspor,Turkey,MF,Defensive Midfield,31-35,35,0,0,0,0,0,0,36,1
Aron Gunnarsson,Iceland,Cardiff City,England,MF,Central Midfield,26-30,29,3,0,0,0,0,253,77,2
Hordur Bjorgvin Magnusson,Iceland,Bristol City,England,DF,Centre-Back,21-25,25,3,0,0,0,0,270,16,2
Rurik Gislason,Iceland,SV Sandhausen,Germany,FW,Right Winger,26-30,30,2,0,0,0,0,117,47,3
Emil Hallfredsson,Iceland,Udinese Calcio,Italy,MF,Central Midfield,31-35,34,2,0,0,1,0,180,64,1
Arnor Ingvi Traustason,Iceland,Malmo FF,Sweden,MF,Left Midfield,21-25,25,1,0,0,0,0,0,19,5
Jon Dadi Bodvarsson,Iceland,Reading FC,England,FW,Centre-Forward,26-30,26,1,0,0,0,0,71,38,2
Ari Freyr Skulason,Iceland,KSC Lokeren,Belgium,DF,Left-Back,31-35,31,2,0,0,0,0,17,56,0
Ikechukwu Ezenwa,Nigeria,Enyimba Aba,Nigeria,GK,Goalkeeper,26-30,29,0,0,0,0,0,0,24,0
Brian Idowu,Nigeria,Amkar Perm,Russia,DF,Right-Back,26-30,26,3,0,0,1,0,225,5,1
Elderson Echiejile,Nigeria,Cercle Brugge,Belgium,DF,Left-Back,26-30,30,0,0,0,0,0,0,62,3
Wilfred Ndidi,Nigeria,Leicester City,England,MF,Defensive Midfield,21-25,21,3,0,0,0,0,270,17,0
William Troost-Ekong,Nigeria,Bursaspor,Turkey,DF,Centre-Back,21-25,24,3,0,0,1,0,270,22,1
Leon Balogun,Nigeria,1.FSV Mainz 05,Germany,DF,Centre-Back,26-30,30,3,0,1,1,0,270,19,0
Ahmed Musa,Nigeria,CSKA Moscow,Russia,FW,Centre-Forward,21-25,25,3,2,0,0,0,208,72,13
Oghenekaro Etebo,Nigeria,UD Las Palmas,Spain,MF,Central Midfield,21-25,22,3,0,0,0,0,270,14,1
Odion Ighalo,Nigeria,Changchun Yatai,China,FW,Centre-Forward,26-30,29,3,0,0,0,0,121,19,4
John Obi Mikel,Nigeria,Tianjin Teda,China,MF,Defensive Midfield,31-35,31,3,0,0,1,0,268,85,6
Victor Moses,Nigeria,Chelsea FC,England,FW,Right Winger,26-30,27,3,1,1,0,0,270,34,11
Shehu Abdullahi,Nigeria,Bursaspor,Turkey,DF,Right-Back,21-25,25,1,0,0,0,0,90,25,0
Simeon Nwankwo,Nigeria,FC Crotone,Italy,FW,Centre-Forward,26-30,26,2,0,0,0,0,2,2,0
Kelechi Iheanacho,Nigeria,Leicester City,England,FW,Centre-Forward,21-25,21,3,0,0,0,0,148,18,8
Joel Obi,Nigeria,Torino FC,Italy,MF,Central Midfield,26-30,27,0,0,0,0,0,0,17,0
Daniel Akpeyi,Nigeria,Chippa United,South Africa,GK,Goalkeeper,31-35,31,0,0,0,0,0,0,7,0
Ogenyi Onazi,Nigeria,Trabzonspor,Turkey,MF,Defensive Midfield,21-25,25,0,0,0,0,0,0,52,1
Alex Iwobi,Nigeria,Arsenal FC,England,FW,Left Winger,21-25,22,3,0,0,0,0,62,19,5
John Ogu,Nigeria,Hapoel Beer Sheva,Israel,MF,Central Midfield,26-30,30,0,0,0,0,0,0,20,2
Chidozie Awaziem,Nigeria,FC Nantes,France,DF,Centre-Back,21-25,21,0,0,0,0,0,0,4,0
Tyronne Ebuehi,Nigeria,ADO Den Haag,Netherlands,DF,Right-Back,21-25,22,1,0,0,0,0,44,7,0
Kenneth Omeruo,Nigeria,Kasimpasa,Turkey,DF,Centre-Back,21-25,24,2,0,1,0,0,180,39,0
